name,link,rdf_link
Mohamed M Bayoumi,https://profiles.rush.edu/profile/15948574,https://profiles.rush.edu/profile/15948574/15948574.rdf
Elizabeth  Becerra,https://profiles.rush.edu/profile/15948575,https://profiles.rush.edu/profile/15948575/15948575.rdf
Jacqueline  Beck,https://profiles.rush.edu/profile/15948577,https://profiles.rush.edu/profile/15948577/15948577.rdf
Ronald G Beckett,https://profiles.rush.edu/profile/15948576,https://profiles.rush.edu/profile/15948576/15948576.rdf
Magdalena  Bednarczyk,https://profiles.rush.edu/profile/14507063,https://profiles.rush.edu/profile/14507063/14507063.rdf
Alex  Behar,https://profiles.rush.edu/profile/15948257,https://profiles.rush.edu/profile/15948257/15948257.rdf
Jay M Behel,https://profiles.rush.edu/profile/201016,https://profiles.rush.edu/profile/201016/201016.rdf
Mallory  Bejster,https://profiles.rush.edu/profile/14507064,https://profiles.rush.edu/profile/14507064/14507064.rdf
Paula J Belice,https://profiles.rush.edu/profile/15948578,https://profiles.rush.edu/profile/15948578/15948578.rdf
David A Bennett,https://profiles.rush.edu/profile/29652,https://profiles.rush.edu/profile/29652/29652.rdf
Andrew J Berenz,https://profiles.rush.edu/profile/1128929,https://profiles.rush.edu/profile/1128929/1128929.rdf
Natalie  Berger,https://profiles.rush.edu/profile/14507187,https://profiles.rush.edu/profile/14507187/14507187.rdf
Richard A. Berger,https://profiles.rush.edu/profile/197283,https://profiles.rush.edu/profile/197283/197283.rdf
Adriana C Bermeo-Ovalle,https://profiles.rush.edu/profile/201017,https://profiles.rush.edu/profile/201017/201017.rdf
Bryan A Bernard,https://profiles.rush.edu/profile/201018,https://profiles.rush.edu/profile/201018/201018.rdf
Damian A Bernard,https://profiles.rush.edu/profile/448461,https://profiles.rush.edu/profile/448461/448461.rdf
Lisa  Berreman,https://profiles.rush.edu/profile/15948991,https://profiles.rush.edu/profile/15948991/15948991.rdf
Elizabeth M Berry-Kravis,https://profiles.rush.edu/profile/204536,https://profiles.rush.edu/profile/204536/204536.rdf
Kyle  Bersted,https://profiles.rush.edu/profile/1589284,https://profiles.rush.edu/profile/1589284/1589284.rdf
Thomas Betlej,https://profiles.rush.edu/profile/14507466,https://profiles.rush.edu/profile/14507466/14507466.rdf
Sudeep H Bhabad,https://profiles.rush.edu/profile/14507358,https://profiles.rush.edu/profile/14507358/14507358.rdf
Shelu  Bhandari,https://profiles.rush.edu/profile/15948579,https://profiles.rush.edu/profile/15948579/15948579.rdf
Harvinder P Bhardwaj,https://profiles.rush.edu/profile/15948580,https://profiles.rush.edu/profile/15948580/15948580.rdf
Joel R Biala,https://profiles.rush.edu/profile/14506833,https://profiles.rush.edu/profile/14506833/14506833.rdf
Antonio C Bianco,https://profiles.rush.edu/profile/204569,https://profiles.rush.edu/profile/204569/204569.rdf
Elaine M Biester,https://profiles.rush.edu/profile/448479,https://profiles.rush.edu/profile/448479/448479.rdf
Kevin  Bigart,https://profiles.rush.edu/profile/15948966,https://profiles.rush.edu/profile/15948966/15948966.rdf
Harold R Bigger,https://profiles.rush.edu/profile/201019,https://profiles.rush.edu/profile/201019/201019.rdf
Anila  Bindal,https://profiles.rush.edu/profile/15948581,https://profiles.rush.edu/profile/15948581/15948581.rdf
Steven D Bines,https://profiles.rush.edu/profile/201020,https://profiles.rush.edu/profile/201020/201020.rdf
Andrew  Birkhead,https://profiles.rush.edu/profile/15948236,https://profiles.rush.edu/profile/15948236/15948236.rdf
Brian W Birmingham,https://profiles.rush.edu/profile/14507670,https://profiles.rush.edu/profile/14507670/14507670.rdf
Faraz Bishehsari,https://profiles.rush.edu/profile/204563,https://profiles.rush.edu/profile/204563/204563.rdf
Sarah  Bjork,https://profiles.rush.edu/profile/28800305,https://profiles.rush.edu/profile/28800305/28800305.rdf
Mindy L Blackwell,https://profiles.rush.edu/profile/448416,https://profiles.rush.edu/profile/448416/448416.rdf
Alan  Blank,https://profiles.rush.edu/profile/14507561,https://profiles.rush.edu/profile/14507561/14507561.rdf
Edward  Robert Blazek,https://profiles.rush.edu/profile/14506699,https://profiles.rush.edu/profile/14506699/14506699.rdf
Katherine D. Blizinsky,https://profiles.rush.edu/profile/521339,https://profiles.rush.edu/profile/521339/521339.rdf
Joel A Block,https://profiles.rush.edu/profile/204595,https://profiles.rush.edu/profile/204595/204595.rdf
Joshua Blomgren,https://profiles.rush.edu/profile/204546,https://profiles.rush.edu/profile/204546/204546.rdf
Patricia M Boatwright,https://profiles.rush.edu/profile/448464,https://profiles.rush.edu/profile/448464/448464.rdf
Jessica L Boettcher,https://profiles.rush.edu/profile/15948582,https://profiles.rush.edu/profile/15948582/15948582.rdf
Lisa N Boggio,https://profiles.rush.edu/profile/204575,https://profiles.rush.edu/profile/204575/204575.rdf
Elizabeth L Bolen,https://profiles.rush.edu/profile/15948583,https://profiles.rush.edu/profile/15948583/15948583.rdf
Beth N Bolick,https://profiles.rush.edu/profile/448322,https://profiles.rush.edu/profile/448322/448322.rdf
Jeffrey Allen Borgia,https://profiles.rush.edu/profile/204537,https://profiles.rush.edu/profile/204537/204537.rdf
Christine Ann Borgstrom,https://profiles.rush.edu/profile/14507705,https://profiles.rush.edu/profile/14507705/14507705.rdf
Keith  Bowersox,https://profiles.rush.edu/profile/14506951,https://profiles.rush.edu/profile/14506951/14506951.rdf
Rakhee M Bowker,https://profiles.rush.edu/profile/14507285,https://profiles.rush.edu/profile/14507285/14507285.rdf
Cynthia Boyd,https://profiles.rush.edu/profile/201026,https://profiles.rush.edu/profile/201026/201026.rdf
Keith Boyd,https://profiles.rush.edu/profile/201027,https://profiles.rush.edu/profile/201027/201027.rdf
Patricia A Boyle,https://profiles.rush.edu/profile/204530,https://profiles.rush.edu/profile/204530/204530.rdf
Georgia  Bozeday,https://profiles.rush.edu/profile/15948230,https://profiles.rush.edu/profile/15948230/15948230.rdf
Brinda  Bradaric,https://profiles.rush.edu/profile/448417,https://profiles.rush.edu/profile/448417/448417.rdf
Michael Bradaric,https://profiles.rush.edu/profile/448343,https://profiles.rush.edu/profile/448343/448343.rdf
Amanda  Bradke,https://profiles.rush.edu/profile/14507563,https://profiles.rush.edu/profile/14507563/14507563.rdf
Lauren E Bradley,https://profiles.rush.edu/profile/201029,https://profiles.rush.edu/profile/201029/201029.rdf
Cheston D Brauer,https://profiles.rush.edu/profile/15948584,https://profiles.rush.edu/profile/15948584/15948584.rdf
Jaime R Braverman,https://profiles.rush.edu/profile/14506836,https://profiles.rush.edu/profile/14506836/14506836.rdf
Susan M Breitenstein,https://profiles.rush.edu/profile/29662,https://profiles.rush.edu/profile/29662/29662.rdf
Jessica  Brennan,https://profiles.rush.edu/profile/15948585,https://profiles.rush.edu/profile/15948585/15948585.rdf
Rory P Breslin-Sani,https://profiles.rush.edu/profile/14507286,https://profiles.rush.edu/profile/14507286/14507286.rdf
Mitchell  Bressack,https://profiles.rush.edu/profile/14507068,https://profiles.rush.edu/profile/14507068/14507068.rdf
Katherine Z Brito,https://profiles.rush.edu/profile/15948586,https://profiles.rush.edu/profile/15948586/15948586.rdf
Elizabeth  Brockland,https://profiles.rush.edu/profile/14506700,https://profiles.rush.edu/profile/14506700/14506700.rdf
Monique M Brotman,https://profiles.rush.edu/profile/448480,https://profiles.rush.edu/profile/448480/448480.rdf
Frederick M Brown Jr.,https://profiles.rush.edu/profile/14506754,https://profiles.rush.edu/profile/14506754/14506754.rdf
Eleanor  Brown,https://profiles.rush.edu/profile/28800306,https://profiles.rush.edu/profile/28800306/28800306.rdf
Eric R Brown,https://profiles.rush.edu/profile/15948587,https://profiles.rush.edu/profile/15948587/15948587.rdf
Maria I Brown,https://profiles.rush.edu/profile/448529,https://profiles.rush.edu/profile/448529/448529.rdf
Mary L Brown,https://profiles.rush.edu/profile/14507069,https://profiles.rush.edu/profile/14507069/14507069.rdf
Michael D Brown,https://profiles.rush.edu/profile/201033,https://profiles.rush.edu/profile/201033/201033.rdf
Solveig  Brown,https://profiles.rush.edu/profile/28800307,https://profiles.rush.edu/profile/28800307/28800307.rdf
Steven Brown,https://profiles.rush.edu/profile/197279,https://profiles.rush.edu/profile/197279/197279.rdf
Melissa  Browning,https://profiles.rush.edu/profile/14507070,https://profiles.rush.edu/profile/14507070/14507070.rdf
Julia R. Bruene,https://profiles.rush.edu/profile/204547,https://profiles.rush.edu/profile/204547/204547.rdf
Angela  Brunfeldt,https://profiles.rush.edu/profile/15948588,https://profiles.rush.edu/profile/15948588/15948588.rdf
Christopher P Bruti,https://profiles.rush.edu/profile/201034,https://profiles.rush.edu/profile/201034/201034.rdf
Aron S Buchman,https://profiles.rush.edu/profile/177825,https://profiles.rush.edu/profile/177825/177825.rdf
Lela E Buckingham,https://profiles.rush.edu/profile/201035,https://profiles.rush.edu/profile/201035/201035.rdf
Susan K Buehler (Roepke),https://profiles.rush.edu/profile/14507362,https://profiles.rush.edu/profile/14507362/14507362.rdf
Colleen M Buhrfiend,https://profiles.rush.edu/profile/448398,https://profiles.rush.edu/profile/448398/448398.rdf
Aleksandra Anna Bukiej,https://profiles.rush.edu/profile/2473430,https://profiles.rush.edu/profile/2473430/2473430.rdf
Daniel  Bunzol,https://profiles.rush.edu/profile/14507775,https://profiles.rush.edu/profile/14507775/14507775.rdf
Nancy  Burdorick,https://profiles.rush.edu/profile/28800286,https://profiles.rush.edu/profile/28800286/28800286.rdf
Helen J. Burgess,https://profiles.rush.edu/profile/204529,https://profiles.rush.edu/profile/204529/204529.rdf
Carol S Burke,https://profiles.rush.edu/profile/14507708,https://profiles.rush.edu/profile/14507708/14507708.rdf
John W Burns,https://profiles.rush.edu/profile/29663,https://profiles.rush.edu/profile/29663/29663.rdf
Karen  Burns,https://profiles.rush.edu/profile/14506954,https://profiles.rush.edu/profile/14506954/14506954.rdf
Katrina Elizabeth Burns,https://profiles.rush.edu/profile/14506953,https://profiles.rush.edu/profile/14506953/14506953.rdf
Delilah  Burrowes,https://profiles.rush.edu/profile/15949004,https://profiles.rush.edu/profile/15949004/15949004.rdf
Charles A. Bush-Joseph,https://profiles.rush.edu/profile/197284,https://profiles.rush.edu/profile/197284/197284.rdf
Joao Busnello,https://profiles.rush.edu/profile/200963,https://profiles.rush.edu/profile/200963/200963.rdf
Caroline  Butler,https://profiles.rush.edu/profile/15948226,https://profiles.rush.edu/profile/15948226/15948226.rdf
John N Butos,https://profiles.rush.edu/profile/14506837,https://profiles.rush.edu/profile/14506837/14506837.rdf
Asokumar Buvanendran,https://profiles.rush.edu/profile/204524,https://profiles.rush.edu/profile/204524/204524.rdf
David R Buyer,https://profiles.rush.edu/profile/15948589,https://profiles.rush.edu/profile/15948589/15948589.rdf
Michael  Byrne,https://profiles.rush.edu/profile/14507071,https://profiles.rush.edu/profile/14507071/14507071.rdf
Richard W Byrne,https://profiles.rush.edu/profile/15948590,https://profiles.rush.edu/profile/15948590/15948590.rdf
Paul G Cabanilla,https://profiles.rush.edu/profile/14507241,https://profiles.rush.edu/profile/14507241/14507241.rdf
Jacqueline R Cameron,https://profiles.rush.edu/profile/14506839,https://profiles.rush.edu/profile/14506839/14506839.rdf
James R Cameron,https://profiles.rush.edu/profile/14506838,https://profiles.rush.edu/profile/14506838/14506838.rdf
Jeff Canar,https://profiles.rush.edu/profile/201040,https://profiles.rush.edu/profile/201040/201040.rdf
Jourdan Cancienne,https://profiles.rush.edu/profile/14506840,https://profiles.rush.edu/profile/14506840/14506840.rdf
Ana  Capuano,https://profiles.rush.edu/profile/742360,https://profiles.rush.edu/profile/742360/742360.rdf
Timothy  Caragher,https://profiles.rush.edu/profile/15948591,https://profiles.rush.edu/profile/15948591/15948591.rdf
Ellen  Carbonell,https://profiles.rush.edu/profile/14506701,https://profiles.rush.edu/profile/14506701/14506701.rdf
Anne B Cardwell,https://profiles.rush.edu/profile/14507566,https://profiles.rush.edu/profile/14507566/14507566.rdf
Rene P Carizey,https://profiles.rush.edu/profile/14507287,https://profiles.rush.edu/profile/14507287/14507287.rdf
Raquel M Carneiro,https://profiles.rush.edu/profile/15948592,https://profiles.rush.edu/profile/15948592/15948592.rdf
Stacey M Carroll,https://profiles.rush.edu/profile/14507363,https://profiles.rush.edu/profile/14507363/14507363.rdf
Paul E Casey,https://profiles.rush.edu/profile/14507242,https://profiles.rush.edu/profile/14507242/14507242.rdf
Myriame  Casimir Hunt,https://profiles.rush.edu/profile/15948593,https://profiles.rush.edu/profile/15948593/15948593.rdf
Erin E Caskey,https://profiles.rush.edu/profile/14506702,https://profiles.rush.edu/profile/14506702/14506702.rdf
Demetra C Castillo,https://profiles.rush.edu/profile/15948594,https://profiles.rush.edu/profile/15948594/15948594.rdf
Catherine D Catrambone,https://profiles.rush.edu/profile/201046,https://profiles.rush.edu/profile/201046/201046.rdf
James L Cavanaugh,https://profiles.rush.edu/profile/15948595,https://profiles.rush.edu/profile/15948595/15948595.rdf
Kevin Patrick Cavanaugh,https://profiles.rush.edu/profile/15948949,https://profiles.rush.edu/profile/15948949/15948949.rdf
Stephanie V Cavanaugh,https://profiles.rush.edu/profile/448542,https://profiles.rush.edu/profile/448542/448542.rdf
Jorge Chahla,https://profiles.rush.edu/profile/14506842,https://profiles.rush.edu/profile/14506842/14506842.rdf
Edie Y Chan,https://profiles.rush.edu/profile/201048,https://profiles.rush.edu/profile/201048/201048.rdf
I Ja  Chan,https://profiles.rush.edu/profile/15948596,https://profiles.rush.edu/profile/15948596/15948596.rdf
Sonal Chandra,https://profiles.rush.edu/profile/448409,https://profiles.rush.edu/profile/448409/448409.rdf
Sonal Chandra,https://profiles.rush.edu/profile/448502,https://profiles.rush.edu/profile/448502/448502.rdf
Andrew  Chapman,https://profiles.rush.edu/profile/15948597,https://profiles.rush.edu/profile/15948597/15948597.rdf
Michael D. Charles,https://profiles.rush.edu/profile/15948989,https://profiles.rush.edu/profile/15948989/15948989.rdf
Vivek  Chaturvedi,https://profiles.rush.edu/profile/14507504,https://profiles.rush.edu/profile/14507504/14507504.rdf
Hitesh  Chawla,https://profiles.rush.edu/profile/15948598,https://profiles.rush.edu/profile/15948598/15948598.rdf
Ana V Chee,https://profiles.rush.edu/profile/201051,https://profiles.rush.edu/profile/201051/201051.rdf
Christina  Chen,https://profiles.rush.edu/profile/14507712,https://profiles.rush.edu/profile/14507712/14507712.rdf
Di Chen,https://profiles.rush.edu/profile/29664,https://profiles.rush.edu/profile/29664/29664.rdf
Elaine Chen,https://profiles.rush.edu/profile/201052,https://profiles.rush.edu/profile/201052/201052.rdf
Elaine Chen,https://profiles.rush.edu/profile/448525,https://profiles.rush.edu/profile/448525/448525.rdf
Joyce  Chen,https://profiles.rush.edu/profile/14506843,https://profiles.rush.edu/profile/14506843/14506843.rdf
Lihua  Chen,https://profiles.rush.edu/profile/15948599,https://profiles.rush.edu/profile/15948599/15948599.rdf
Meri E Chen,https://profiles.rush.edu/profile/14507074,https://profiles.rush.edu/profile/14507074/14507074.rdf
Michael Chen,https://profiles.rush.edu/profile/204606,https://profiles.rush.edu/profile/204606/204606.rdf
Regina  Chen,https://profiles.rush.edu/profile/448420,https://profiles.rush.edu/profile/448420/448420.rdf
Stuart H. Chen,https://profiles.rush.edu/profile/14507365,https://profiles.rush.edu/profile/14507365/14507365.rdf
Yimin  Chen,https://profiles.rush.edu/profile/448421,https://profiles.rush.edu/profile/448421/448421.rdf
Allison E Chen-Mccracken,https://profiles.rush.edu/profile/448481,https://profiles.rush.edu/profile/448481/448481.rdf
David S. Cheng,https://profiles.rush.edu/profile/200956,https://profiles.rush.edu/profile/200956/200956.rdf
Lin  Cheng,https://profiles.rush.edu/profile/14507013,https://profiles.rush.edu/profile/14507013/14507013.rdf
Jonathan Cheponis,https://profiles.rush.edu/profile/448388,https://profiles.rush.edu/profile/448388/448388.rdf
